user_id,age,status,amount
1,40,active,8007.43
2,33,active,8235.64
3,27,active,9078.82
4,37,active,7786.63
5,27,active,11120.65
6,36,active,12046.11
7,44,active,7946.96
8,32,active,6379.63
9,39,active,9849.81
10,41,active,7031.05
11,36,active,7185.25
12,26,active,10401.93
13,35,active,8635.49
14,37,active,9751.83
15,32,active,13856.74
16,37,active,6640.83
17,36,active,8627.62
18,32,active,5722.0
19,44,active,6883.29
20,44,active,9102.25
21,38,active,9709.15
22,35,active,7980.74
23,36,active,7000.37
24,31,active,7818.17
25,26,active,9338.65
26,43,active,8298.11
27,34,active,10997.21
28,45,active,8487.44
29,46,active,9646.7
30,39,active,6998.07
31,33,active,9539.78
32,26,active,11995.27
33,36,active,9039.17
34,46,active,6079.58
35,33,active,5553.5199999999995
36,43,active,9185.06
37,38,active,6709.12
38,39,active,9129.01
39,34,active,8168.79
40,43,active,8565.83
41,44,active,9806.55
42,34,active,6918.72
43,41,active,10057.86
44,30,active,11093.7
45,39,active,8465.79
46,35,active,7381.969999999999
47,26,active,7031.72
48,39,active,4831.4
49,44,active,9236.55
50,27,active,6323.77
51,33,active,8455.76
52,44,active,10008.69
53,45,active,10073.02
54,34,active,7379.88
55,30,active,7142.45
56,43,active,6660.96
57,31,active,8051.139999999999
58,45,active,9587.15
59,41,active,7697.44
60,29,active,6125.29
61,36,active,7736.87
62,38,active,8983.19
63,29,active,8720.130000000001
64,38,active,8576.62
65,32,active,5054.74
66,37,active,8249.14
67,44,active,8186.86
68,46,active,6145.45
69,33,active,9530.17
70,41,active,10260.96
71,41,active,9572.53
72,42,active,7017.09
73,33,active,6102.06
74,37,active,7214.19
75,35,active,8453.16
76,35,active,9846.33
77,27,active,9810.05
78,28,active,4903.59
79,25,active,8416.95
80,41,active,5927.28
81,37,active,10374.77
82,40,active,9533.63
83,46,active,7762.02
84,28,active,4889.9
85,36,active,9144.09
86,38,active,12912.27
87,44,active,10890.46
88,27,active,6709.99
89,34,active,10704.31
90,30,active,9492.51
91,42,active,9934.26
92,41,active,7004.22
93,29,active,7975.77
94,44,active,10574.880000000001
95,25,active,10075.68
96,37,active,7233.68
97,39,active,6143.83
98,33,active,8638.26
99,29,active,12810.13
100,36,active,8579.91
101,42,active,9387.34
102,43,active,7513.08
103,40,active,7110.27
104,37,active,9134.97
105,43,active,6224.73
106,33,active,5702.99
107,27,active,8723.4
108,42,active,11681.18
109,39,active,10868.21
110,45,active,9823.73
111,26,active,5450.4400000000005
112,35,active,8360.369999999999
113,29,active,7845.31
114,39,active,8843.29
115,40,active,7199.57
116,44,active,7294.030000000001
117,31,active,9298.44
118,44,active,7522.96
119,37,active,9035.79
120,36,active,14310.210000000001
121,30,active,6151.0
122,36,active,9296.4
123,26,active,11506.39
124,46,active,7780.46
125,32,active,5232.12
126,25,active,10170.65
127,41,active,9879.619999999999
128,42,active,8863.44
129,46,active,7732.54
130,42,active,7967.3
131,30,active,6510.71
132,32,active,11525.68
133,27,active,7550.88
134,28,active,10472.98
135,35,active,7057.0199999999995
136,45,active,8912.88
137,44,active,11563.4
138,39,active,10839.09
139,46,active,10102.64
